crime_id,crime_type,date,time,day_of_week,month,hour,latitude,longitude,area,severity,suspect_age_group,suspect_gender,suspect_prior_record,weapon_used,arrest_made,risk_level
CR-00025,Theft,2023-06-03,13:34,Saturday,6,13,12.990499,80.222092,Guindy,Low,18-25,Male,Yes,None,Yes,Medium Risk
CR-00026,Drug Offense,2024-11-17,19:00,Sunday,11,19,13.0812,80.204873,Anna Nagar,Medium,36-45,Male,Yes,None,No,Medium Risk
CR-00027,Robbery,2023-03-01,19:02,Wednesday,3,19,13.095135,80.204439,Anna Nagar,High,18-25,Male,Yes,None,No,Medium Risk
CR-00028,Burglary,2021-08-06,20:20,Friday,8,20,12.922879,80.090018,Tambaram,Medium,26-35,Male,Yes,None,Yes,Medium Risk
CR-00029,Burglary,2023-02-08,16:44,Wednesday,2,16,13.086592,80.205298,Anna Nagar,Medium,26-35,Female,No,None,Yes,Low Risk
CR-00030,Burglary,2022-11-22,20:11,Tuesday,11,20,12.983748,80.213018,Velachery,Medium,18-25,Female,Yes,None,No,Medium Risk
CR-00031,Theft,2024-01-04,21:35,Thursday,1,21,12.981906,80.221957,Velachery,Low,26-35,Male,No,None,Yes,Low Risk
CR-00032,Robbery,2022-10-25,22:36,Tuesday,10,22,13.094155,80.216963,Anna Nagar,High,26-35,Male,No,Knife,Yes,High Risk
CR-00033,Theft,2022-01-31,22:18,Monday,1,22,13.044393,80.233059,T. Nagar,Low,26-35,Male,No,Firearm,Yes,Medium Risk
CR-00034,Fraud,2024-03-20,20:38,Wednesday,3,20,13.036207,80.234029,T. Nagar,Medium,26-35,Female,Yes,None,Yes,Medium Risk
CR-00035,Vandalism,2022-05-07,21:37,Saturday,5,21,13.038334,80.235731,T. Nagar,Low,36-45,Male,Yes,Blunt Object,No,Medium Risk
CR-00036,Assault,2022-05-15,10:06,Sunday,5,10,12.895686,80.238781,Sholinganallur,High,36-45,Male,No,None,No,Medium Risk
CR-00037,Burglary,2022-10-15,13:57,Saturday,10,13,13.07838,80.265188,Egmore,Medium,36-45,Male,No,Knife,No,Low Risk
CR-00038,Burglary,2024-02-15,22:43,Thursday,2,22,12.885826,80.232693,Sholinganallur,Medium,46+,Female,Yes,None,No,Medium Risk
CR-00039,Theft,2024-08-21,19:30,Wednesday,8,19,12.893822,80.240107,Sholinganallur,Low,46+,Female,Yes,None,Yes,Low Risk
CR-00040,Assault,2024-02-20,09:25,Tuesday,2,9,12.975445,80.210999,Velachery,High,18-25,Male,Yes,Knife,Yes,High Risk
CR-00041,Robbery,2023-01-22,08:45,Sunday,1,8,13.040818,80.239291,T. Nagar,High,46+,Male,No,Firearm,No,Medium Risk
CR-00042,Burglary,2022-01-09,20:31,Sunday,1,20,12.911979,80.222478,Sholinganallur,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00043,Theft,2023-04-03,21:16,Monday,4,21,12.927456,80.101546,Tambaram,Low,36-45,Male,Yes,None,Yes,Medium Risk
CR-00044,Assault,2022-11-16,17:00,Wednesday,11,17,13.024527,80.277821,Mylapore,High,36-45,Male,No,None,Yes,Medium Risk
CR-00045,Robbery,2022-01-24,05:58,Monday,1,5,12.986663,80.228949,Velachery,High,18-25,Male,Yes,Firearm,Yes,High Risk
CR-00046,Assault,2023-05-09,06:33,Tuesday,5,6,13.013219,80.257093,Adyar,High,26-35,Female,No,Knife,Yes,High Risk
CR-00047,Burglary,2023-09-11,02:05,Monday,9,2,12.933881,80.08847,Tambaram,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-00048,Fraud,2021-12-26,19:24,Sunday,12,19,13.054641,80.153945,Porur,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-00049,Theft,2022-10-07,14:25,Friday,10,14,13.035203,80.149951,Porur,Low,18-25,Male,No,None,No,Low Risk
CR-00050,Assault,2021-12-03,11:00,Friday,12,11,13.043225,80.234385,T. Nagar,High,46+,Male,No,Knife,Yes,Medium Risk
CR-00051,Theft,2022-11-30,10:06,Wednesday,11,10,13.040575,80.272809,Mylapore,Low,46+,Male,Yes,None,Yes,Low Risk
CR-00052,Theft,2023-11-29,12:38,Wednesday,11,12,13.029316,80.235754,T. Nagar,Low,26-35,Male,No,None,No,Low Risk
CR-00053,Fraud,2022-09-15,19:48,Thursday,9,19,12.994515,80.211513,Guindy,Medium,26-35,Male,No,None,Yes,Medium Risk
CR-00054,Theft,2021-10-04,08:54,Monday,10,8,12.93128,80.101162,Tambaram,Low,46+,Male,No,None,No,Low Risk
CR-00055,Burglary,2023-11-16,11:43,Thursday,11,11,13.090125,80.203582,Anna Nagar,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00056,Assault,2021-09-16,02:49,Thursday,9,2,12.997476,80.233872,Velachery,High,36-45,Male,Yes,None,Yes,High Risk
CR-00057,Burglary,2024-12-13,12:48,Friday,12,12,12.947122,80.15824,Chromepet,Medium,46+,Male,Yes,Blunt Object,No,Medium Risk
CR-00058,Theft,2024-10-04,08:40,Friday,10,8,13.077329,80.264704,Egmore,Low,18-25,Male,No,None,No,Low Risk
CR-00059,Fraud,2024-08-11,19:31,Sunday,8,19,12.933313,80.093252,Tambaram,Medium,18-25,Female,Yes,None,Yes,Medium Risk
CR-00060,Robbery,2021-07-17,22:06,Saturday,7,22,13.066145,80.265001,Egmore,High,26-35,Male,No,Blunt Object,No,High Risk
CR-00061,Fraud,2024-12-05,19:03,Thursday,12,19,13.010532,80.223269,Guindy,Medium,36-45,Male,No,None,Yes,Low Risk
CR-00062,Vandalism,2024-07-08,15:03,Monday,7,15,13.080157,80.271745,Egmore,Low,26-35,Male,Yes,Blunt Object,Yes,Medium Risk
CR-00063,Robbery,2022-12-13,13:25,Tuesday,12,13,12.62914,80.183696,Mamallapuram,High,26-35,Male,No,Knife,No,Medium Risk
CR-00064,Fraud,2023-06-07,00:41,Wednesday,6,0,13.068161,80.259432,Egmore,Medium,18-25,Female,No,None,Yes,Medium Risk
CR-00065,Theft,2022-02-24,07:56,Thursday,2,7,12.992763,80.250664,Adyar,Low,26-35,Male,Yes,None,No,Low Risk
CR-00066,Theft,2021-09-01,16:10,Wednesday,9,16,13.025754,80.134223,Porur,Low,26-35,Male,No,Knife,Yes,Low Risk
CR-00067,Theft,2024-03-30,12:42,Saturday,3,12,13.004549,80.211748,Guindy,Low,46+,Male,No,None,Yes,Low Risk
CR-00068,Theft,2022-12-24,12:29,Saturday,12,12,13.084738,80.205753,Anna Nagar,Low,18-25,Male,No,None,No,Low Risk
CR-00069,Burglary,2023-08-05,08:00,Saturday,8,8,13.002078,80.255029,Adyar,Medium,46+,Male,No,None,No,Low Risk
CR-00070,Drug Offense,2023-10-29,00:54,Sunday,10,0,13.085205,80.198813,Anna Nagar,Medium,18-25,Male,No,None,No,Medium Risk
CR-00071,Vandalism,2024-01-17,19:55,Wednesday,1,19,12.949394,80.13774,Chromepet,Low,18-25,Male,No,None,No,Low Risk
CR-00072,Drug Offense,2024-08-01,13:01,Thursday,8,13,13.026211,80.165613,Porur,Medium,26-35,Male,No,Knife,Yes,Medium Risk
CR-00073,Assault,2023-12-13,11:51,Wednesday,12,11,12.89816,80.22996,Sholinganallur,High,46+,Male,Yes,Knife,Yes,High Risk
CR-00074,Vandalism,2021-08-25,13:08,Wednesday,8,13,13.031492,80.234907,T. Nagar,Low,18-25,Female,Yes,None,No,Low Risk
CR-00075,Robbery,2024-03-22,15:11,Friday,3,15,13.097964,80.222664,Anna Nagar,High,18-25,Female,No,Firearm,Yes,Medium Risk
CR-00076,Theft,2023-10-17,22:00,Tuesday,10,22,13.030325,80.238748,T. Nagar,Low,18-25,Male,No,None,Yes,Low Risk
CR-00077,Burglary,2022-09-15,22:21,Thursday,9,22,13.078061,80.248747,Egmore,Medium,26-35,Male,Yes,None,No,Medium Risk
CR-00078,Theft,2023-11-07,13:42,Tuesday,11,13,13.000324,80.219994,Guindy,Low,18-25,Female,Yes,None,Yes,Low Risk
CR-00079,Vandalism,2023-03-28,08:09,Tuesday,3,8,13.029851,80.267958,Mylapore,Low,36-45,Male,No,Blunt Object,No,Low Risk
CR-00080,Homicide,2022-04-11,15:14,Monday,4,15,13.037959,80.26454,Mylapore,High,26-35,Female,No,None,Yes,Medium Risk
CR-00081,Theft,2021-05-17,09:07,Monday,5,9,12.900684,80.233352,Sholinganallur,Low,36-45,Male,No,Knife,Yes,Low Risk
CR-00082,Theft,2021-07-07,15:02,Wednesday,7,15,13.046846,80.260443,Mylapore,Low,18-25,Male,No,None,No,Low Risk
CR-00083,Drug Offense,2024-12-20,21:01,Friday,12,21,13.042458,80.242624,T. Nagar,Medium,36-45,Female,Yes,Firearm,No,High Risk
CR-00084,Burglary,2022-11-28,17:43,Monday,11,17,12.897436,80.239527,Sholinganallur,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00085,Assault,2021-10-20,01:00,Wednesday,10,1,13.030572,80.154299,Porur,High,36-45,Male,No,Blunt Object,No,High Risk
CR-00086,Robbery,2023-12-22,17:24,Friday,12,17,13.072006,80.255625,Egmore,High,18-25,Female,Yes,Blunt Object,Yes,High Risk
CR-00087,Theft,2022-05-21,20:05,Saturday,5,20,12.941607,80.150772,Chromepet,Low,26-35,Male,Yes,None,No,Medium Risk
CR-00088,Homicide,2021-01-03,20:37,Sunday,1,20,12.988735,80.213573,Guindy,High,26-35,Male,No,Knife,Yes,High Risk
CR-00089,Kidnapping,2024-11-19,05:23,Tuesday,11,5,13.085365,80.205052,Anna Nagar,High,18-25,Female,No,Blunt Object,Yes,High Risk
CR-00090,Burglary,2021-04-25,20:55,Sunday,4,20,13.04563,80.268661,Mylapore,Medium,26-35,Female,Yes,Knife,Yes,High Risk
CR-00091,Assault,2022-07-11,19:41,Monday,7,19,13.034374,80.238855,T. Nagar,High,46+,Male,No,Blunt Object,Yes,Medium Risk
CR-00092,Theft,2021-03-23,20:13,Tuesday,3,20,13.066943,80.25598,Egmore,Low,18-25,Male,Yes,None,Yes,Low Risk
CR-00093,Vandalism,2023-10-05,06:29,Thursday,10,6,13.051291,80.232209,T. Nagar,Low,18-25,Male,No,None,Yes,Low Risk
CR-00094,Cybercrime,2021-07-11,19:21,Sunday,7,19,13.031237,80.267267,Mylapore,Medium,46+,Female,No,None,Yes,Low Risk
CR-00095,Robbery,2022-04-05,00:10,Tuesday,4,0,12.960693,80.142544,Chromepet,High,18-25,Male,No,Knife,No,High Risk
CR-00096,Drug Offense,2024-07-18,20:28,Thursday,7,20,13.00491,80.261123,Adyar,Medium,18-25,Female,No,None,Yes,Medium Risk
CR-00097,Kidnapping,2023-05-19,18:05,Friday,5,18,13.058426,80.256367,Egmore,High,36-45,Male,Yes,Knife,No,High Risk
CR-00098,Robbery,2022-05-07,15:07,Saturday,5,15,13.083731,80.200607,Anna Nagar,High,18-25,Female,Yes,Knife,No,High Risk
CR-00099,Theft,2022-06-11,15:13,Saturday,6,15,12.995291,80.225449,Guindy,Low,18-25,Male,No,None,No,Low Risk
CR-00100,Burglary,2023-12-24,14:07,Sunday,12,14,12.917404,80.11295,Tambaram,Medium,36-45,Male,No,Blunt Object,No,Medium Risk
CR-00101,Fraud,2024-01-17,08:11,Wednesday,1,8,12.900971,80.218633,Sholinganallur,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00102,Theft,2022-08-12,04:21,Friday,8,4,13.008554,80.26092,Adyar,Low,36-45,Female,Yes,None,No,Medium Risk
CR-00103,Robbery,2021-08-11,16:49,Wednesday,8,16,12.62807,80.196877,Mamallapuram,High,26-35,Male,No,Firearm,No,Medium Risk
CR-00104,Vandalism,2023-06-14,18:40,Wednesday,6,18,13.098485,80.206418,Anna Nagar,Low,36-45,Male,No,Knife,No,Low Risk
CR-00105,Vandalism,2021-11-05,18:50,Friday,11,18,13.089048,80.194121,Anna Nagar,Low,18-25,Male,Yes,None,No,Low Risk
CR-00106,Drug Offense,2023-05-12,22:57,Friday,5,22,13.058285,80.253687,Egmore,Medium,46+,Male,No,None,No,Medium Risk
CR-00107,Fraud,2022-08-01,17:35,Monday,8,17,12.986719,80.205389,Velachery,Medium,18-25,Male,No,None,No,Low Risk
CR-00108,Fraud,2023-01-22,17:41,Sunday,1,17,13.084796,80.219482,Anna Nagar,Medium,46+,Male,No,None,Yes,Low Risk
CR-00109,Theft,2023-06-10,11:27,Saturday,6,11,13.074643,80.219387,Anna Nagar,Low,18-25,Female,No,None,Yes,Low Risk
CR-00110,Theft,2023-04-24,20:00,Monday,4,20,12.986202,80.218921,Velachery,Low,26-35,Male,No,None,No,Low Risk
CR-00111,Vandalism,2021-06-05,21:05,Saturday,6,21,13.082385,80.205692,Anna Nagar,Low,26-35,Female,Yes,None,Yes,Medium Risk
CR-00112,Kidnapping,2023-04-17,06:50,Monday,4,6,13.042915,80.23772,T. Nagar,High,26-35,Male,No,Blunt Object,No,Medium Risk
CR-00113,Theft,2021-11-04,19:41,Thursday,11,19,13.070045,80.257482,Egmore,Low,18-25,Male,No,None,Yes,Low Risk
CR-00114,Cybercrime,2022-03-03,19:49,Thursday,3,19,13.08647,80.211434,Anna Nagar,Medium,18-25,Female,No,None,No,Medium Risk
CR-00115,Drug Offense,2024-08-20,18:25,Tuesday,8,18,13.003939,80.247607,Adyar,Medium,46+,Female,No,None,Yes,Low Risk
CR-00116,Theft,2024-11-05,20:03,Tuesday,11,20,13.041579,80.273209,Mylapore,Low,26-35,Female,Yes,None,No,Low Risk
CR-00117,Assault,2024-01-05,17:14,Friday,1,17,13.028869,80.250373,Mylapore,High,26-35,Male,Yes,None,Yes,Medium Risk
CR-00118,Robbery,2023-07-31,15:20,Monday,7,15,12.931605,80.164528,Chromepet,High,18-25,Male,Yes,None,Yes,Medium Risk
CR-00119,Robbery,2023-08-02,16:45,Wednesday,8,16,13.042871,80.26985,Mylapore,High,46+,Male,No,Knife,Yes,Medium Risk
CR-00120,Burglary,2023-10-05,16:45,Thursday,10,16,13.002639,80.267636,Adyar,Medium,26-35,Male,Yes,None,Yes,Medium Risk
CR-00121,Theft,2024-10-06,21:38,Sunday,10,21,12.920089,80.102558,Tambaram,Low,18-25,Female,No,None,No,Low Risk
CR-00122,Theft,2024-10-17,07:12,Thursday,10,7,13.007091,80.220925,Guindy,Low,18-25,Male,No,None,No,Low Risk
CR-00123,Assault,2024-03-23,10:03,Saturday,3,10,12.99884,80.266482,Adyar,High,18-25,Male,No,Firearm,No,Medium Risk
CR-00124,Fraud,2024-06-03,15:20,Monday,6,15,13.04215,80.232924,T. Nagar,Medium,26-35,Male,Yes,None,No,Medium Risk
CR-00125,Homicide,2021-09-20,19:02,Monday,9,19,12.995168,80.2147,Velachery,High,18-25,Female,No,None,Yes,Medium Risk
CR-00126,Vandalism,2021-02-05,05:32,Friday,2,5,12.993202,80.210575,Guindy,Low,26-35,Male,No,None,No,Low Risk
CR-00127,Fraud,2023-02-15,21:49,Wednesday,2,21,13.034828,80.255296,Mylapore,Medium,18-25,Male,Yes,None,No,Medium Risk
CR-00128,Assault,2022-10-24,16:35,Monday,10,16,12.63739,80.198255,Mamallapuram,High,26-35,Male,No,None,Yes,Medium Risk
CR-00129,Homicide,2022-05-30,22:44,Monday,5,22,13.048723,80.240213,T. Nagar,High,36-45,Male,Yes,Knife,No,High Risk
CR-00130,Robbery,2022-04-05,20:33,Tuesday,4,20,13.039474,80.230837,T. Nagar,High,26-35,Male,Yes,Knife,Yes,High Risk
CR-00131,Assault,2024-05-04,21:05,Saturday,5,21,13.04021,80.156488,Porur,High,18-25,Female,Yes,Blunt Object,No,High Risk
CR-00132,Drug Offense,2021-05-14,08:06,Friday,5,8,12.9998,80.250454,Adyar,Medium,36-45,Male,No,None,No,Low Risk
CR-00133,Theft,2023-04-02,11:30,Sunday,4,11,12.936022,80.104462,Tambaram,Low,26-35,Male,Yes,None,Yes,Low Risk
CR-00134,Theft,2022-06-21,10:44,Tuesday,6,10,12.924336,80.103892,Tambaram,Low,26-35,Male,Yes,None,No,Low Risk
CR-00135,Robbery,2023-12-20,12:30,Wednesday,12,12,13.040092,80.246026,T. Nagar,High,46+,Male,No,None,No,Medium Risk
CR-00136,Theft,2024-09-14,20:45,Saturday,9,20,13.038695,80.235463,T. Nagar,Low,46+,Female,No,None,No,Low Risk
CR-00137,Burglary,2024-06-08,19:36,Saturday,6,19,13.027265,80.154702,Porur,Medium,26-35,Female,No,None,No,Low Risk
CR-00138,Burglary,2022-02-09,00:14,Wednesday,2,0,12.998752,80.225235,Guindy,Medium,18-25,Female,No,Knife,Yes,Medium Risk
CR-00139,Theft,2022-04-10,07:59,Sunday,4,7,13.022857,80.26756,Mylapore,Low,18-25,Female,Yes,None,No,Low Risk
CR-00140,Robbery,2024-12-16,13:41,Monday,12,13,13.047339,80.147533,Porur,High,18-25,Female,Yes,Knife,No,High Risk
CR-00141,Robbery,2023-03-13,13:21,Monday,3,13,13.001576,80.221947,Guindy,High,18-25,Male,No,Knife,No,Medium Risk
CR-00142,Theft,2021-02-12,18:50,Friday,2,18,13.03538,80.24449,T. Nagar,Low,18-25,Male,No,None,Yes,Low Risk
CR-00143,Theft,2021-12-16,20:07,Thursday,12,20,13.006057,80.266989,Adyar,Low,18-25,Male,No,None,No,Low Risk
CR-00144,Burglary,2021-07-09,21:09,Friday,7,21,13.084845,80.275294,Egmore,Medium,36-45,Male,Yes,Knife,Yes,High Risk
CR-00145,Theft,2022-05-03,14:59,Tuesday,5,14,12.977408,80.211917,Velachery,Low,36-45,Male,Yes,Knife,No,Medium Risk
CR-00146,Assault,2021-02-08,21:40,Monday,2,21,12.914969,80.104844,Tambaram,High,36-45,Male,Yes,Blunt Object,Yes,High Risk
CR-00147,Vandalism,2024-09-30,22:28,Monday,9,22,13.07578,80.255441,Egmore,Low,46+,Male,Yes,None,Yes,Medium Risk
CR-00148,Vandalism,2024-10-08,15:53,Tuesday,10,15,13.012727,80.223649,Guindy,Low,36-45,Male,No,Blunt Object,Yes,Low Risk
CR-00149,Fraud,2022-03-25,11:34,Friday,3,11,12.976856,80.222709,Velachery,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-00150,Robbery,2022-08-21,21:57,Sunday,8,21,13.035521,80.239286,T. Nagar,High,26-35,Male,Yes,Blunt Object,Yes,High Risk
CR-00151,Homicide,2021-05-12,13:03,Wednesday,5,13,13.074997,80.268361,Egmore,High,26-35,Male,Yes,Knife,Yes,High Risk
CR-00152,Vandalism,2023-11-10,13:06,Friday,11,13,12.920386,80.101476,Tambaram,Low,26-35,Male,No,Knife,No,Low Risk
CR-00153,Assault,2021-03-01,12:45,Monday,3,12,13.093541,80.216887,Anna Nagar,High,18-25,Female,No,Blunt Object,Yes,Medium Risk
CR-00154,Fraud,2022-04-26,05:51,Tuesday,4,5,13.046741,80.239686,T. Nagar,Medium,18-25,Male,No,None,No,Medium Risk
CR-00155,Fraud,2021-03-19,19:38,Friday,3,19,12.996673,80.223389,Guindy,Medium,18-25,Male,Yes,None,No,Medium Risk
CR-00156,Burglary,2022-07-17,22:41,Sunday,7,22,12.946933,80.135793,Chromepet,Medium,26-35,Male,No,None,No,Medium Risk
CR-00157,Theft,2024-08-11,15:00,Sunday,8,15,13.069485,80.258131,Egmore,Low,46+,Male,Yes,None,Yes,Low Risk
CR-00158,Theft,2023-06-22,10:27,Thursday,6,10,13.072668,80.262862,Egmore,Low,36-45,Male,Yes,None,No,Low Risk
CR-00159,Robbery,2023-05-25,08:03,Thursday,5,8,12.99985,80.257388,Adyar,High,36-45,Male,Yes,Knife,No,High Risk
CR-00160,Drug Offense,2023-06-15,18:36,Thursday,6,18,12.907354,80.217866,Sholinganallur,Medium,26-35,Male,No,None,No,Low Risk
CR-00161,Theft,2024-04-16,19:41,Tuesday,4,19,13.04556,80.249418,T. Nagar,Low,18-25,Male,No,Blunt Object,No,Low Risk
CR-00162,Robbery,2021-07-17,21:09,Saturday,7,21,13.081413,80.22618,Anna Nagar,High,36-45,Male,Yes,Knife,Yes,High Risk
CR-00163,Burglary,2021-08-31,20:31,Tuesday,8,20,13.081138,80.202473,Anna Nagar,Medium,26-35,Male,No,Knife,No,Medium Risk
CR-00164,Theft,2023-09-28,16:27,Thursday,9,16,13.080265,80.260277,Egmore,Low,26-35,Male,No,None,No,Low Risk
CR-00165,Vandalism,2021-11-03,09:11,Wednesday,11,9,12.932254,80.094655,Tambaram,Low,26-35,Female,Yes,Knife,No,Medium Risk
CR-00166,Theft,2022-04-13,16:01,Wednesday,4,16,12.998522,80.253271,Adyar,Low,46+,Male,Yes,None,No,Low Risk
CR-00167,Theft,2022-06-28,07:10,Tuesday,6,7,12.924263,80.103619,Tambaram,Low,36-45,Male,Yes,Blunt Object,No,Medium Risk
CR-00168,Theft,2021-05-11,16:24,Tuesday,5,16,12.947408,80.136142,Chromepet,Low,18-25,Male,No,Blunt Object,Yes,Low Risk
CR-00169,Homicide,2023-08-01,18:08,Tuesday,8,18,13.011576,80.256317,Adyar,High,18-25,Male,No,Knife,Yes,Medium Risk
CR-00170,Theft,2021-02-10,19:17,Wednesday,2,19,13.082937,80.273071,Egmore,Low,36-45,Male,No,None,No,Low Risk
CR-00171,Fraud,2023-12-26,11:55,Tuesday,12,11,13.044066,80.232029,T. Nagar,Medium,36-45,Male,No,None,No,Low Risk
CR-00172,Assault,2024-04-29,03:56,Monday,4,3,13.005311,80.257937,Adyar,High,36-45,Female,No,Blunt Object,Yes,High Risk
CR-00173,Fraud,2022-02-11,08:33,Friday,2,8,12.990357,80.217037,Velachery,Medium,26-35,Female,Yes,None,Yes,Low Risk
CR-00174,Fraud,2021-06-03,23:21,Thursday,6,23,12.955705,80.144124,Chromepet,Medium,36-45,Male,No,None,No,Medium Risk
CR-00175,Drug Offense,2023-02-26,21:13,Sunday,2,21,13.071398,80.214326,Anna Nagar,Medium,18-25,Male,No,Knife,No,Medium Risk
CR-00176,Drug Offense,2022-05-29,18:45,Sunday,5,18,13.011109,80.257418,Adyar,Medium,26-35,Male,No,None,No,Low Risk
CR-00177,Assault,2023-10-10,06:08,Tuesday,10,6,13.042026,80.2891,Mylapore,High,18-25,Male,No,Knife,No,Medium Risk
CR-00178,Burglary,2021-08-20,22:37,Friday,8,22,12.998585,80.226863,Guindy,Medium,18-25,Male,No,None,No,Medium Risk
CR-00179,Robbery,2023-08-09,23:07,Wednesday,8,23,13.005856,80.219125,Guindy,High,26-35,Male,Yes,Knife,Yes,High Risk
CR-00180,Assault,2023-01-23,18:13,Monday,1,18,12.999545,80.215245,Guindy,High,18-25,Male,Yes,Knife,Yes,High Risk
CR-00181,Assault,2021-12-07,14:41,Tuesday,12,14,12.999919,80.261871,Adyar,High,26-35,Male,Yes,None,Yes,Medium Risk
CR-00182,Burglary,2023-02-18,01:10,Saturday,2,1,13.036133,80.22199,T. Nagar,Medium,26-35,Female,No,None,No,Medium Risk
CR-00183,Drug Offense,2021-04-13,22:04,Tuesday,4,22,13.037936,80.235274,T. Nagar,Medium,18-25,Male,No,None,Yes,Medium Risk
CR-00184,Burglary,2022-08-17,06:46,Wednesday,8,6,12.98045,80.218615,Velachery,Medium,26-35,Female,No,None,No,Low Risk
CR-00185,Robbery,2024-07-13,15:50,Saturday,7,15,13.045825,80.158797,Porur,High,18-25,Female,Yes,Firearm,Yes,High Risk
CR-00186,Theft,2021-09-25,11:00,Saturday,9,11,13.048186,80.232533,T. Nagar,Low,18-25,Male,No,Knife,Yes,Low Risk
CR-00187,Drug Offense,2022-02-24,18:54,Thursday,2,18,12.926999,80.10841,Tambaram,Medium,26-35,Male,No,None,No,Low Risk
CR-00188,Drug Offense,2022-11-03,12:56,Thursday,11,12,13.046415,80.214966,T. Nagar,Medium,18-25,Male,Yes,None,No,Medium Risk
CR-00189,Assault,2024-05-10,18:27,Friday,5,18,13.051989,80.230114,T. Nagar,High,18-25,Female,No,Knife,No,Medium Risk
CR-00190,Robbery,2023-11-21,19:44,Tuesday,11,19,12.892082,80.228681,Sholinganallur,High,18-25,Female,No,None,Yes,Medium Risk
CR-00191,Theft,2021-09-02,11:36,Thursday,9,11,12.94037,80.134575,Chromepet,Low,26-35,Female,No,None,Yes,Low Risk
